,0
import2016short_133,Effects of Implicit Guidance on Contribution Quality in a WikiBased Learning Environment
import2015short_264,AutBlocks: Using Collaborative Learning to Develop Joint
import2016full_75,The Epistemology of Science
import2018_182,Solder and Wire or Needle and Thread: Examining the Effects of
import2016full_73,Negotiation Towards Intersubjectivity and Impacts on Conceptual
import2015short_262,How Learners Employ Semiotic Resources for
import2015short_268,Modeling Performance in Asynchronous CSCL: An Exploration of
import2018_401,Individualized Assessment and Automated Feedback
import2018_400,"“If You Add Too Much Science, It Gets Boring.” Exploring Students’"
import2018_403,Opening the Door to Algebra: The Role of Fraction Knowledge in
import2018_402,Skyscraper Games: Designing Professional Development for
import2018_405,Identifying Methods to Induce Productive Confusion for Improving
import2018_404,How to Enjoy Writing Papers: Supporting Literature-Based
import2018_407,‘I Think It's Kind of Made Everybody a Little Closer:’ A Virtual
import2018_406,Examining Sixth Graders’ Science Identity Development in a Multimodal
import2016short_101,“That’s Your Heart!”: Live Physiological Sensing and
import2016short_100,The Influence of Question Wording on Children’s Tendencies to
import2016short_103,Fostering More Informed Epistemic Views Among Students
import2016short_102,Managing Threats to Teacher Face in Discussions of VideoRecorded Lessons
import2016short_105,Using Differentiated Feedback Messages to Promote Student
import2016short_104,Crossing Boundaries: Reflexive Analysis of Collaborative Learning
import2016short_107,Examining the Influence of Teacher’s Framing of Modeling
import2016short_106,Use of Interactive Computer Models to Promote Integration of
import2015full_178,Examining the Real and Perceived Impacts of a Public Idea
import2015full_176,Impacts on Student Understanding of Scientific Practices
import2015full_172,Comparing the Benefits of a Tangible User Interface and
import2015full_171,Constructing Knowledge: A Community of Practice Framework
import2018_498,Game-Talk: Media-Based Mentoring as a Process of Reframing
import2018_499,Using Multiple Perspectives to Study Identity Development in
import2018_492,Facilitation in Informal Makerspaces
import2018_493,How Do Multilingual Learners Support One Another’s Science
import2018_490,"Accessibility, Making and Tactile Robotics:"
import2018_491,An Analysis of Collective Knowledge Advancement and
import2018_496,Parents’ Decontextualized Talk During Early Childhood Predicts
import2018_497,The Impact of Evidence-based Professional Development on
import2018_494,The Structures of Embodied Play Activities and Their
import2018_495,Assessing the Validity of Peer Feedback in a
import2016short_120,Students’ Responses to Curricular Activities as Indicator of
import2018_249,“It Didn’t Really Go Very Well”: Epistemological Framing and the
import2018_248,Conceptual Patterns of Changes in University Students’
import2018_243,Using Phenomenography in Educational Technology Research
import2018_242,Guiding Intent Participation at an Art Crating Company
import2018_241,Third Graders’ Use of Digital Tools Designed for Multimodal
import2018_240,Bringing Static Code to Life: The Instructional Work of Animating
import2018_247,Exploring Teacher Learning through STEM Teachers’ Exploration
import2018_246,Multimodal Learning Analytics for the Qualitative Researcher
import2018_245,Exploring the Margins of the Field: Rethinking STEM in Education
import2018_244,Teachers’ Views on Supporting Self-Regulated Learning in Early
import2015short_162,Boundary Interactions: Resolving Interdisciplinary Collaboration
import2015short_163,Common Ground and Individual Accountability
import2015short_167,A Long-Term View on Learning to Argue in Facebook:
import2015short_165,Design Features for Computer-Supported Complex Systems
import2015full_293,Materiality of Online Students’ Peer-Review Activities
import2015short_169,Beyond Pedagogical Challenges: Addressing the Social Aspects
import2016full_7,Scaling Studio-Based Learning Through Social Innovation
import2016short_152,Supporting Calculus Learning Through “Smooth” Covariation
import2018_180,Co-Framing Shared Epistemic Objects of Inquiry to Support
import2018_358,Characterizing Digital Contexts of Collaborative Learning:
import2018_181,Recognizing Competencies vs. Completion vs. Participation:
import2015full_204,Epistemography and Professional CSCL Environment Design
import2015full_206,The Burden of Facilitating Collaboration: Towards Estimation of
import2015full_209,Mixing In-Class and Online Learning: Content Meta-Analysis of
import2018_337,Multimodal Reflection: Adolescents Remixing and Sharing Their
import2018_336,Concepts Before Coding: The Impact of Classroom Culture and
import2018_335,Concrete Definition of Beneficial Collaborative Dialogues
import2015short_297,Assessing Collaborative Problem Solving with
import2018_333,The Challenge of Working With the Future Within STEM Education
import2018_332,Student Learning of Computational Thinking in a Robotics
import2018_238,Indoor Positioning Technology and Enhanced Engagement in Early
import2018_239,Qualitative Measures of Equity in Small Groups
import2018_57,Learning Analytics in Support of Qualitative Analysis
import2018_56,Social and Cognitive Group Awareness to Aid Argumentation
import2018_55,Toward Using Multi-Modal Learning Analytics to Support and
import2018_54,Pathways to Literary Reasoning: Bridging Text and World
import2018_53,Representations of Progress in a Learning Community
import2018_52,Doing Science With Fidelity to Persons: Instantiations of Caring
import2018_51,Experts' Goals and Constraints When Discussing Vaccines With
import2018_338,Eliciting Student Explanations in an Undergraduate Biology Course
import2016full_98,
import2017_69,Finding Collaboration Partners in a Scientific Community: The Role
import2017_68,Through the (Thin-Slice) Looking Glass: An Initial Look at Rapport
import2016full_90,"Designing a Blended, Middle School Computer Science Course for"
import2016full_91,Author Index
import2016full_92,cluster analysis ...................................................................................................................................................... 66
import2016full_93,scaling-up ......................................................................................................................................................... 1074
import2017_63,Explanation-Giving in a Collaborative Tangible Tabletop Game:
import2016full_95,
import2016full_96,
import2017_60,Exploring Computational Modeling Environments as Tools to
import2015full_191,Using Differences to Make a Difference:
import2015full_192,Assessment and Collaborative Inquiry:
import2015full_197,"The Role of Time, Engagement, and Self-Perceived Leadership"
import2015short_197,"The Role of Time, Engagement, and Self-Perceived Leadership"
import2017_93,Collaborating With Stakeholders in STEM Studios
import2015short_192,Assessment and Collaborative Inquiry:
import2015short_191,Using Differences to Make a Difference:
import2015short_221,What Kind of World Do You Want to Live In? Positive
import2015short_222,Investigating Collaborative Reflection with Peers
import2018_59,Equity in the Learning Sciences: Recent Themes and Pathways
import2015short_293,Materiality of Online Students’ Peer-Review Activities
import2018_236,Social Network Analysis for Signaling Pedagogical Shifts in
import2018_237,"Sequencing Arithmetic, Area, and Algebraic Instruction for"
import2018_368,Beyond Copy Room Collaboration: A Case Study of Online Informal
import2018_234,Authentic Learning and Teaching in an Out-of-School Lab - First
import2016full_61,Exposing Piaget’s Scheme:
import2015short_176,Impacts on Student Understanding of Scientific Practices
import2018_235,Beyond Analogy: Qualitative Dimensions of Comparing in Math
import2018_232,Words Mean Things: How Museum Workers’ Discursive Practices
import2018_233,Agent-Based Models to Support Bioscience Learning in Nursing
import2017_62,GroupWork: Learning During Collaborative Assessment Activities
import2018_339,Developing a Text-Integration Task for Investigating and
import2015short_340,Using Situated-Action Networks to Visualize Complex Learning
import2018_50,Teaching For Versus Through Problem Solving:
import2015short_347,Emergent Roles and Collaborative Discourse Over Time
import2015short_344,Internalization of Physics Concepts and Relationships Based on
import2015short_171,Constructing Knowledge: A Community of Practice Framework
import2015full_335,Discovery Versus Direct Instruction: Learning Outcomes
import2015full_334,Tarzan and Jane Share an iPad
import2018_362,Community Science Identity: Becoming Community Scientists in a
import2018_43,Defining and Assessing Risk Analysis: The Key to Strategic
import2015short_1101,Artefacts Mediating Practices across Time and Space:
import2015short_1103,Researching and Designing for the Orchestration of Learning in
import2015short_1107,CSCL and Learning Analytics:
import2017_67,The Role of Visual Representations Within the
import2017_66,Learning to Model Ecosystems With Interaction Food Webs
import2017_65,Scoring Qualitative Informal Learning Dialogue: The SQuILD
import2018_478,A Learning Sciences Perspective on the Development of
import2018_479,"Using Web 2.0 Technologies to Facilitate Scaffolding of StudentLed, Collaborative Learning Outside of the Classroom"
import2015full_382,"How Did a Grade 5 Community Formulate Progressive, Collective"
import2017_64,Mediating Access: How Visually-Impaired Users Leverage
import2016short_156,Investigating Analogical Problem Posing as
import2018_168,"Combining Gaze, Dialogue, and Action from a Collaborative"
import2016short_154,The Study of Cognitive Development in the Structured
import2016short_155,Uncovering Teachers’ Pedagogical Reasoning in Science
import2016full_43,"Examining Tensions Among Youth, Adults, and Curriculum as"
import2016full_94,
import2016full_41,How a 6th Grade Classroom Develops Epistemologies for Building
import2016full_40,Supporting Teachers in Navigating Change Towards
import2018_474,Investigating Multiple Dimensions of Student Engagement with
import2018_475,Relating Social Network Structure to Uncertainty and Social
import2018_476,"Becoming, Being, and Sometimes Leaving: A Longitudinal"
import2018_477,Shifting Educational Activity Systems: A Cross-Case Analysis of
import2015full_146,A Multivocality Approach to Epistemic Agency
import2015full_414,Scaffolding Scientific Epistemologies through KnowledgeBuilding Discourse and Epistemic Reflection
import2017_61,Using Rotating Leadership to Visualize Students’ Epistemic
import2015short_126,Principle-Based Guidance to Foster Adaptive Teaching Practice
import2018_391,“Sorry if I’m Leaving You in the Dust”: Toward Understanding the
import2015short_172,Comparing the Benefits of a Tangible User Interface and
import2016full_97,
import2015short_122,The 3R Orchestration Cycle:
import2018_259,Infrastructuring for Participatory Design of School Technology
import2017_118,Collaborative Problem Solving: Innovating Standardized
import2017_119,Scripted and Unscripted Aspects of Creative Work With Knowledge
import2018_393,How Groups Regulate Their Learning: The Influence of
import2017_110,Role of Socio-Emotional Interactions on Mutual Trust and
import2017_111,Fostering a Knowledge Building Community in a Primary Social
import2017_112,Exercising the Heart of History Education: Negotiating the Past
import2018_392,Biohacking Food: A Case Study of Science Inquiry and Design
import2017_114,Making a Difference: Analytics for Quality Knowledge-Building
import2017_115,Technology and Applications for Collaborative Learning
import2017_116,"CSCL and Eye-tracking: Experiences, Opportunities and"
import2017_117,Libraries as Emerging Spaces for Computer-Supported
import2018_193,“We Were on the Same Level”: Young Engineering Researchers
import2018_254,Missing the Brilliance of Scholars of Color: Mathematics Teacher
import2018_191,Characterizing Computational Thinking in High School Science
import2018_190,Rethinking the Teaching and Learning of Area Measurement
import2018_197,“Your Turn!”: Playing Cooperative Modern Board Games to
import2018_196,Equity-oriented STEM-rich Making Among Youth From Historically
import2018_195,Building a Team Leadership Index Through Computational
import2018_527,The Effects of the Productive “Visible-Annotation Tool” (P-“VAT”)
import2018_199,Forms of Emergent Collaboration in Maker-Based Learning
import2018_198,Playing and Designing Games for Systems Thinking: A Design
import2018_256,Assessing Equity in Collaborative Learning Situations:
import2018_379,Architectures for Learning and Successive Processes of Scaling
import2018_525,Why Can’t We All Just Get Along?: Focusing on Socioemotional
import2018_373,Developing Interdisciplinary Competencies for Science Teaching
import2018_372,"Mobility, Diversity, and Openness: Design Principles for Equitable"
import2018_371,Learning Scientific Practices Through Participation as a Volunteer
import2015short_150,“This Is the Size of One Meter”: Children’s Bodily-Material
import2018_377,Investigating the Use of Anchoring for Promoting Design Thinking
import2018_376,Improving Elementary Students’ Literacy Through Knowledge
import2018_375,Revitalizing Japanese Lesson Study Through Shared Tools
import2016short_99,Technology-Supported Dialog as a Bridge to Developing
import2018_272,Moving Forward: In Search of Synergy Across Diverse Views on
import2018_273,Unpacking Dimensions of Evidentiary Knowledge and Reasoning in
import2018_270,Symposium
import2018_271,Networked by Design: Interventions for Teachers to Develop Social
import2018_276,"Affordances of Digital, Textile and Living Media"
import2018_277,Attunements to the Ethical in Design and Learning
import2018_274,"Knowledge Integration in the Digital Age: Trajectories,"
import2018_275,Crowdsourcing and Education:
import2018_175,Rethinking Loafers: Understanding the Productive Functions of
import2018_174,Using Iterative Design to Create Efficacy-Building Social
import2018_177,Patterns of Classroom Talk Through Participation in DiscourseFocused Teacher Professional Development
import2018_176,Reassembling Home-work: Mixing “Newer” and “Older”
import2015short_395,Meaning-Making in Collaborative Activity:
import2018_170,Exploring Practices on the Move: Facilitating Learning
import2018_173,Revising Biology Misconceptions Using an Online Activity With
import2015short_396,Assessing Young Children’s Cognition
import2018_289,Design of a Virtual Internship to Develop Technological
import2018_288,The Role of Social-academic Goals in Chinese Students’ Selfregulated Learning
import2018_287,Dropping in to Game Design: Iterations of a Skatepark Physics
import2018_286,Visual Feedback for Asynchronous Online Interaction: Exploratory
import2018_285,Equitable Science Outcomes and School Organizational Conditions
import2018_284,Playful Mathematics Learning: Beyond Early Childhood and SugarCoating
import2018_283,Rising Above? Implications of Complexity for Theories of Learning
import2018_282,Unpacking ‘Signs of Learning’ in Complex Social Environments:
import2018_281,Community-Based Design Partnerships:
import2018_280,The State of the Field in Computational Thinking Assessment
import2018_522,Knowledge Places: Embedding Knowledge in the Space of the
import2015short_307,Research Questions and Research Methods in CSCL Research
import2015short_302,The Use of Visual Evidence for Planning and Argumentation
import2016full_64,Toward an Integrated Framework of Scientific Reasoning
import2016full_67,Listening Versus Looking: Learning About Dynamic Complex
import2016full_65,Perceptions of Productive Failure in Design Projects:
import2015short_309,Students’ Design Decisions in Collaborative Design
import2016full_66,The Effects of Coaching on the Teaching and Learning of English
import2018_308,Research Questions to Support Conversational Learning in the Era
import2018_309,Middle School Student Ideas on the Relative Affordances of
import2018_306,Transitioning to an Integrated Science Teaching Model:
import2018_307,The Interaction of the Need for Cognitive Closure With Implicit and
import2018_304,Data Transformations: Restructuring Data for Inquiry in a
import2018_305,Is Student Frustration in Learning Games More Associated With
import2018_302,Sketching and Gesturing for New Ideas in Collaborative Design
import2018_303,Developing Assessment Tasks to Promote Student Sensemaking of
import2018_300,Uncovering the Rich Club Phenomenon in an Online Class
import2018_301,Peer Tutor Matching for Introductory Programming: Data-Driven
import2018_458,Studying the Interactions between Components of Self Regulated
import2016short_141,A User Interface for the Exploration of Manually and
import2018_510,Three Research Directions for Affective Learning Technologies
import2017_34,Teaching Accessibility in a Technology Design Course
import2017_35,Group and Individual Level Effects of Supporting Socio-Cognitive
import2017_36,High School Students' Collaboration and Engagement With
import2017_37,Using Multimodal Learning Analytics to Identify Aspects of
import2017_30,Expressing and Addressing Uncertainty:
import2017_31,Collaborative and Individual Scientific Reasoning of Pre-Service
import2017_32,Time and Semantic Similarity – What is the Best Alternative to
import2017_33,The Dangers of Assuming Before Analysis: Three Case Studies of
import2017_38,Student Re-Design of Deprived Neighbourhoods in Minecraft:
import2017_39,How Technology and Collaboration Promote Formative Feedback:
import2016short_140,"Distributions, Trends, and Contradictions: A Case Study in"
import2018_452,Constructing Entities in Scientific Models
import2016full_63,Disruptions to Practice: Understanding Suspensions of Youths’
import2015short_367,Designing Simple Tools for Socially Shared Regulation:
import2018_453,Using Example-based PF Conditions to Investigate Preparatory
import2017_7,Contrasting Explicit and Implicit Scaffolding for Transactive
import2018_450,Social Reading: Field Study With an In-Home Learning Companion
import2018_451,Engaging Teachers in Discussions Around Temporality Measures
import2015short_373,Fostering Argumentation Skills in Mathematics with Adaptable
import2015short_372,Maximizing Benefit of Peer-Feedback
import2015short_278,Designing Automated Assessment FOR Collaborative
import2018_9,Designing for Rightful Presence in 6th Grade Science: Community
import2018_8,How Teachers Use Instructional Improvisation to Organize Science
import2018_7,Scaffolding Authentic Wearable-Based Scientific Inquiry
import2018_6,Exploring Multimodal Scaffolds Supporting Middle School
import2018_5,A Focus on Contribution Towards Product and Performance in
import2018_4,Science Engagement and Identities in Everyday Family Life
import2018_3,Exploring the Unknown: Supporting Students' Navigation of
import2018_2,Negotiating Epistemic Agency and Target Learning Goals:
import2018_1,Learning Design Through Science vs. Science Through Design
import2016short_127,Educational Affordances of Tablet-Mediated Collaboration to
import2016short_118,Developing Argument Skills Through the SOCRATES Learning
import2016short_119,Environmental Learning Through the Lens of Affinity Spaces:
import2016short_116,Tracking Student Teachers’ Technology-Enhanced Collaborative
import2016short_117,Conceptualizing Authenticity and Relevance of Science
import2016short_114,Learning Environments to Facilitate
import2015full_347,Emergent Roles and Collaborative Discourse Over Time
import2016short_112,Supporting Planning and Conducting Experiments
import2016short_113,Designing Technology for Learning:
import2016short_110,Modelling Authenticity in Teaching and Learning Contexts:
import2016short_111,Fostering Collaborative Learning Through Knowledge Building
import2016short_124,A Design Approach to Understanding the Activity of Learners in
import2018_346,Science Literacy in Controversial Contexts:
import2017_8,Making Engagement Visible:
import2017_9,Examining the Flow of Ideas During Critique Activities in a Design
import2018_489,Linking Identity Resources Across Roles: Family Science
import2018_488,“I Have an Opinion About Science I Think Part Is True and Part Is
import2016full_60,Qualitative and Quantitative Information in Cognitive Group
import2015full_391,Activity Design Models to Support the Development of High Quality
import2018_481,Networks in Small-Group and Whole-class Structures in Large
import2018_250,Exploring Relevant Problem-Solving Processes in Learning From
import2018_483,Socialization and Cognitive Apprenticeship in Online Doctoral
import2018_482,An Initial Examination of Designed Features to Support
import2018_485,Computational Discourse in a Role-Playing Game Podcast
import2018_484,Game Design Literacy as a Problem-Solving Disposition
import2018_487,Professional Development of Science Teachers in Underserved
import2018_486,Examining Parent-Child Communication and Affect During
import2018_347,Navigating “Disability”: Complexity and Small Environments
import2017_5,Collaborative Learning on Multi-Touch Interfaces: Scaffolding
import2017_6,Behavioral and Relationship Patterns in an Online Collaborative
import2018_465,Technology to Support Students’ Learning Mathematics From
import2018_509,How Gender Cues in Educational Video Impact
import2016full_12,Supporting Inquiry Learning as a Practice: A Practice Perspective
import2016full_13,Introducing Academically Low-Performing Young Science
import2016full_14,Idea Identification and Analysis (I2A): A Search for Sustainable
import2018_471,Activity Systems Analysis of the Social Practices by Low-achieving
import2016full_16,Validating a Model for Assessing Teacher’s Adaptive Expertise
import2016full_17,What Do Learning Scientists Do? A Survey of the ISLS
import2018_500,Examining Productive Discourse and Knowledge Advancement
import2016full_19,Developing Pre-Service Teachers’ Professional Vision Through
import2018_502,Augmenting Formative Writing Assessment With Learning
import2018_503,Distributed Representation of Misconceptions
import2018_504,Envisioning a Learning Analytics for the Learning Sciences
import2018_505,Renovating Assessment for the Future:
import2018_506,Applying Group Communication Analysis to Educational Discourse
import2018_507,Transhumanism and Education:
import2016short_129,Interdisciplinary Computing and the Emergence of Boundary
import2015full_280,Beyond and Within Classroom Walls: Designing Principled
import2016short_128,Designing Science Curriculum for Implementation at Scale:
import2015full_285,Navigating Connected Inquiry Learning with ScienceKit
import2018_523,"Computation, Constructivism, and Curriculum Design"
import2016full_62,Teacher Epistemic Learning in the Innovation Diffusion
import2015short_276,Grappling with the Not-Yet-Known
import2018_519,"Defining, Designing, and Documenting Computational Thinking"
import2016short_168,Beyond Just Getting Our Word Out: Creating Pipelines From
import2018_438,A Geopositioning View of Teachers’ Orchestration in Active
import2018_439,Domain-General Metacognitive Instruction Reduces Productive
import2016short_163,Qualitative Analysis of Video Data: Standards and Heuristics
import2016short_162,FUSE: An Alternative Infrastructure for
import2016short_161,The Function of Epistemic Emotions for Complex Reasoning in
import2016short_160,“Show Me” What You Mean: Learning and Design Implications of
import2016short_167,Future Learning Spaces for Learning Communities:
import2016short_166,Negotiating Academic Communities: Narratives of Life-long
import2016short_165,"Agentive Learning for Sustainability and Equity: Communities,"
import2016short_164,Connected Making: Designing for Youth Learning in Online Maker
import2015full_232,Algebra Learning through Digital Gaming in School
import2018_48,Investigating the Coupling of Narrative and Locality
import2018_49,Refutation Text and Argumentation to Promote Conceptual Change
import2018_340,Making Uncertainty Work: How Youth Manage Uncertainty to Shape
import2018_341,Interdependence as a Treatment Effect:
import2018_229,Social Positioning Newcomer Roles on a High School Robotics
import2018_228,Evidence-based Reasoning of Pre-Service Teachers:
import2018_344,Visualizing Knowledge in the Era of Instructional Software and
import2018_345,Unpacking Why Student Writing Does Not Match Their Science
import2018_40,Blocks or Text? How Programming Language Modality Makes a
import2018_41,Towards a Cognitive Ecological Framework in CSCL
import2018_348,Increasing the Use of Formative Feedback:
import2018_349,Measuring Awe and Critical Thinking in a Science Museum
import2018_44,A Study of the Design and Enactment of Scientific Modeling Tasks
import2018_45,Examining Pre-service Teacher Knowledge Trajectories of
import2018_46,"Interconnecting Knowledge, Experience, and Self"
import2018_47,A Principled Approach to Designing Assessments That Integrate
import2017_78,Newcomer Integration Strategies in Blogger Online Knowledge
import2017_79,Designing Spaces for Collaboration in Practice-Based Learning
import2017_70,Can We Rely on IRR?
import2017_71,To What Extent Students’ Epistemic Beliefs Influence Their
import2017_72,Children’s Emergent Leadership and Relational Thinking
import2017_73,Exploring Student Engagement in an Augmented Reality Game
import2017_74,Maker Portfolios as Learning and Community-Building Tools
import2017_75,Videoconferencing in Peer Review: Exploring Differences in
import2017_76,Self-Organizing Collaborations as Blueprints for CSCL Design
import2017_77,CSCL and Vocational Education:
import2015short_189,Learning about Collaborative Design for Learning
import2015short_185,Fostering Sustained Knowledge Building through Metadiscourse
import2016full_58,Fighting for Desired Versions of a Future Self:
import2015short_414,Scaffolding Scientific Epistemologies through KnowledgeBuilding Discourse and Epistemic Reflection
import2015short_182,3D Tangibles Facilitate Joint Visual Attention in Dyads
import2018_251,Reflecting on Epistemic Ideals and Processes:
import2015short_236,Enhancing Teacher Education Students’ Collaborative
import2016short_115,Resolving Disagreements in Evaluating Epistemic and
import2015short_232,Algebra Learning through Digital Gaming in School
import2017_106,Developing Professional Competency in a CSCL Environment for
import2015full_340,Using Situated-Action Networks to Visualize Complex Learning
import2018_423,Empowering Transformative Agency Through
import2018_422,Re-Engaging Youth: Using Discourse Analysis to Explore
import2018_294,Cueing Gestures in a Seasons Simulation: Outcomes of an
import2016full_59,Blending Play and Inquiry in Augmented Reality: A Comparison
import2018_421,GenEvo - An Emergent Systems Microworld For Model-Based
import2018_58,Empirical Evidence for Evaluation Anxiety and ExpectancyValue Theory for Help Sources
import2017_102,Anchor Code: Modularity as Evidence for Conceptual Learning and
import2018_328,Tracing Bodies Through Liminal Blends During Play-Based Inquiry
import2018_420,Neurocognitive Task Analysis: What Happens as Medical Students
import2018_39,Conjecture Mapping the Library: Iterative Refinements Toward
import2018_38,Matching Data-Driven Models of Group Interactions to Video
import2018_35,Designing for and Analyzing Productive Uncertainty
import2018_34,Teachers’ Mediation of Students’ Interactions with Physical and
import2018_37,The Design and Evaluation of Optimal Computerized Guidance for
import2018_36,Public Peer Review Motivates Higher Quality Feedback
import2018_31,Trade-offs in Using Mobile Tools to Promote Action with
import2018_30,Bringing Practices of Co-Design and Making to Basic Education
import2018_33,A Collaboration Script for Nonverbal Communication Enhances
import2016short_175,Real-Time Visualization of Student Activities to Support Classroom
import2018_520,Fabric-based Computing: New Materials for Learning Computer
import2015short_335,Discovery Versus Direct Instruction: Learning Outcomes
import2015short_334,Tarzan and Jane Share an iPad
import2018_225,Acceptance and Refusal:
import2015full_309,Students’ Design Decisions in Collaborative Design
import2015short_401,The Development of Productive Vocabulary in Knowledge
import2018_322,Designing Learning Environments to Facilitate Creativity
import2015full_307,Research Questions and Research Methods in CSCL Research
import2015short_1118,Knowledge Construction in the Instrumented Classroom:
import2015short_1110,Technology-Enhanced Learning Communities on a Continuum
import2018_224,Math: It’s Not What You “Think”
import2015short_1116,A Multimodal Approach to the Analysis of Complex Collaborative
import2018_325,Visualizations of Community Knowledge for Supporting Middle
import2018_467,Pedagogically Informed Peer Teaching as a Mechanism for
import2018_466,Playing Well With Others: An Ethnographic Examination of a
import2015full_395,Meaning-Making in Collaborative Activity:
import2018_464,Uncovering Students’ Ecological Knowledge Resources
import2018_463,Room for Everyone? Identification Processes in Crafting
import2018_462,Toward the Design of Scaffolds for In-the-World Situated
import2018_461,Conceptual Goals While Using a Simulation: Three Different
import2018_460,Exploring the Impact of Virtual Internships for Democratic and
import2016full_54,Analyzing Patterns of Emerging Understanding and
import2016full_55,Hacking a Path In and Through STEM: Unpacking the STEM
import2016full_56,Local Versus Global Connection Making in Discourse
import2016full_57,Advancing Learning Visualizations: Situated Action Networks as
import2016full_50,The Effect of Concrete Materials on Children’s Subsequent
import2016full_51,Expanding Coordination Class Theory to Capture Conceptual
import2016full_52,Examining the Impacts of Annotation and Automated Guidance on
import2016full_53,Understanding Middle School Teachers’ Processing of
import2015full_407,Tools for Tracing the Development of Concepts through
import2015full_154,The Development of Situational-Misconceptions
import2015full_404,Fostering Discussion across Communication Media
import2015full_403,"Learning Resilience in the Face of Bias: Online Gaming, Protective"
import2015full_150,“This Is the Size of One Meter”: Children’s Bodily-Material
import2015full_401,The Development of Productive Vocabulary in Knowledge
import2018_66,Investigating the Impact of an Online Collaboration Course on
import2015full_367,Designing Simple Tools for Socially Shared Regulation:
import2015full_158,Dialogism:
import2018_67,How Broad is Computational Thinking?
import2017_107,Collaborative Argumentation During a Making and Tinkering
import2018_454,Student Perceptions of Object-based Learning With Digitized
import2017_105,Evaluating the Distribution of Students’ Contributions in
import2017_104,Learning About Climate Change Through Cooperation
import2017_103,How Did a Grade 5 Science Community Co-Construct Collective
import2018_64,Mobilizing Learning Progressions for Teacher Use: Examining the
import2017_101,Children’s Participation in Rulemaking to Mitigate Process
import2017_100,Integrating Eye-Tracking Activities Into a Learning Environment to
import2018_226,The Quality of Open Online Education and Learning:
import2018_65,Designing From Outer Space: Tensions in the Development of a
import2017_109,Assessing Student Generated Infographics for Scaffolding
import2017_108,Participatory Design With Students for Technology Integration:
import2018_480,Making Mathematical Thinking Visible Through Technology
import2018_354,Developing Historical Thinking in PBL Class Supported
